time,total_value_0,total_value_1,mean_timeseries
0 days 00:00:15.300000,0,1,0.5
0 days 00:00:15.400000,0,1,0.5
0 days 00:00:15.500000,0,1,0.5
0 days 00:00:15.600000,0,1,0.5
0 days 00:00:15.700000,0,1,0.5
0 days 00:00:15.800000,0,1,0.5
0 days 00:00:15.900000,0,2,1.0
0 days 00:00:16,0,2,1.0
0 days 00:00:16.100000,0,2,1.0
0 days 00:00:16.200000,0,2,1.0
0 days 00:00:16.300000,0,2,1.0
0 days 00:00:16.400000,0,2,1.0
0 days 00:00:16.500000,0,2,1.0
0 days 00:00:16.600000,0,2,1.0
0 days 00:00:16.700000,0,2,1.0
0 days 00:00:16.800000,0,2,1.0
0 days 00:00:16.900000,0,2,1.0
0 days 00:00:17,0,2,1.0
0 days 00:00:17.100000,0,2,1.0
0 days 00:00:17.200000,0,2,1.0
0 days 00:00:17.300000,0,2,1.0
0 days 00:00:17.400000,0,2,1.0
0 days 00:00:17.500000,0,2,1.0
0 days 00:00:17.600000,0,2,1.0
0 days 00:00:17.700000,0,2,1.0
0 days 00:00:17.800000,0,2,1.0
0 days 00:00:17.900000,0,2,1.0
0 days 00:00:18,0,2,1.0
0 days 00:00:18.100000,0,2,1.0
0 days 00:00:18.200000,0,2,1.0
0 days 00:00:18.300000,0,2,1.0
0 days 00:00:18.400000,0,2,1.0
0 days 00:00:18.500000,0,2,1.0
0 days 00:00:18.600000,0,2,1.0
0 days 00:00:18.700000,0,2,1.0
0 days 00:00:18.800000,0,2,1.0
0 days 00:00:18.900000,0,2,1.0
0 days 00:00:19,0,2,1.0
0 days 00:00:19.100000,0,2,1.0
0 days 00:00:19.200000,0,2,1.0
0 days 00:00:19.300000,0,2,1.0
0 days 00:00:19.400000,0,2,1.0
0 days 00:00:19.500000,0,2,1.0
0 days 00:00:19.600000,0,2,1.0
0 days 00:00:19.700000,0,2,1.0
0 days 00:00:19.800000,0,2,1.0
0 days 00:00:19.900000,0,2,1.0
0 days 00:00:20,0,2,1.0
0 days 00:00:20.100000,0,2,1.0
0 days 00:00:20.200000,0,2,1.0
0 days 00:00:20.300000,0,2,1.0
0 days 00:00:20.400000,0,2,1.0
0 days 00:00:20.500000,0,2,1.0
0 days 00:00:20.600000,0,2,1.0
0 days 00:00:20.700000,0,2,1.0
0 days 00:00:20.800000,0,2,1.0
0 days 00:00:20.900000,0,2,1.0
0 days 00:00:21,0,2,1.0
0 days 00:00:21.100000,0,2,1.0
0 days 00:00:21.200000,0,2,1.0
0 days 00:00:21.300000,0,2,1.0
0 days 00:00:21.400000,0,2,1.0
0 days 00:00:21.500000,0,2,1.0
0 days 00:00:21.600000,0,2,1.0
0 days 00:00:21.700000,0,2,1.0
0 days 00:00:21.800000,0,2,1.0
0 days 00:00:21.900000,0,2,1.0
0 days 00:00:22,0,2,1.0
0 days 00:00:22.100000,0,2,1.0
0 days 00:00:22.200000,0,2,1.0
0 days 00:00:22.300000,0,2,1.0
0 days 00:00:22.400000,0,2,1.0
0 days 00:00:22.500000,0,2,1.0
0 days 00:00:22.600000,0,2,1.0
0 days 00:00:22.700000,0,2,1.0
0 days 00:00:22.800000,0,2,1.0
0 days 00:00:22.900000,0,2,1.0
0 days 00:00:23,0,1,0.5
0 days 00:00:23.100000,0,1,0.5
0 days 00:00:23.200000,0,1,0.5
0 days 00:00:23.300000,0,1,0.5
0 days 00:00:23.400000,0,1,0.5
0 days 00:00:23.500000,0,1,0.5
0 days 00:00:23.600000,0,1,0.5
0 days 00:00:23.700000,0,1,0.5
0 days 00:00:23.800000,0,1,0.5
0 days 00:00:23.900000,0,1,0.5
0 days 00:00:24,0,1,0.5
0 days 00:00:24.100000,0,1,0.5
0 days 00:00:24.200000,0,1,0.5
0 days 00:00:24.300000,0,1,0.5
0 days 00:00:24.400000,0,1,0.5
0 days 00:00:24.500000,0,1,0.5
0 days 00:00:24.600000,0,1,0.5
0 days 00:00:24.700000,0,1,0.5
0 days 00:00:24.800000,0,1,0.5
0 days 00:00:24.900000,0,1,0.5
0 days 00:00:25,0,1,0.5
0 days 00:00:25.100000,0,1,0.5
0 days 00:00:25.200000,0,1,0.5
0 days 00:00:25.300000,0,1,0.5
0 days 00:00:25.400000,0,1,0.5
0 days 00:00:25.500000,0,1,0.5
0 days 00:00:25.600000,0,1,0.5
0 days 00:00:25.700000,0,1,0.5
0 days 00:00:25.800000,0,1,0.5
0 days 00:00:25.900000,0,1,0.5
0 days 00:00:26,0,1,0.5
0 days 00:00:26.100000,0,1,0.5
0 days 00:00:26.200000,0,1,0.5
0 days 00:00:26.300000,0,1,0.5
0 days 00:00:26.400000,0,1,0.5
0 days 00:00:26.500000,-1,1,0.0
0 days 00:00:26.600000,-1,1,0.0
0 days 00:00:26.700000,-1,1,0.0
0 days 00:00:26.800000,-1,1,0.0
0 days 00:00:26.900000,-1,1,0.0
0 days 00:00:27,-1,1,0.0
0 days 00:00:27.100000,-1,1,0.0
0 days 00:00:27.200000,-1,1,0.0
0 days 00:00:27.300000,-1,1,0.0
0 days 00:00:27.400000,-1,1,0.0
0 days 00:00:27.500000,-1,1,0.0
0 days 00:00:27.600000,-1,1,0.0
0 days 00:00:27.700000,-1,1,0.0
0 days 00:00:27.800000,-1,1,0.0
0 days 00:00:27.900000,-1,1,0.0
0 days 00:00:28,-1,1,0.0
0 days 00:00:28.100000,-1,1,0.0
0 days 00:00:28.200000,-1,1,0.0
0 days 00:00:28.300000,-1,1,0.0
0 days 00:00:28.400000,-1,1,0.0
0 days 00:00:28.500000,-1,1,0.0
0 days 00:00:28.600000,-1,1,0.0
0 days 00:00:28.700000,-1,1,0.0
0 days 00:00:28.800000,-1,1,0.0
0 days 00:00:28.900000,-1,1,0.0
0 days 00:00:29,-1,1,0.0
0 days 00:00:29.100000,-1,1,0.0
0 days 00:00:29.200000,-1,1,0.0
0 days 00:00:29.300000,-1,1,0.0
0 days 00:00:29.400000,-1,1,0.0
0 days 00:00:29.500000,-1,1,0.0
0 days 00:00:29.600000,-1,1,0.0
0 days 00:00:29.700000,-1,1,0.0
0 days 00:00:29.800000,-1,1,0.0
0 days 00:00:29.900000,-1,1,0.0
0 days 00:00:30,-1,1,0.0
