,current_value,total_value,time
0,1,1,6.840176343917847
1,1,5,7.110570192337036
2,1,9,7.378489971160889
3,1,12,8.025888442993164
4,1,15,10.188551664352417
5,1,20,13.46831727027893
6,1,24,13.697748899459839
7,1,27,15.33946418762207
8,-1,28,17.397514581680298
9,-1,22,17.738255739212036
10,-1,16,18.00133180618286
11,-1,11,18.207141876220703
12,-1,5,18.413370370864868
13,-1,-1,18.6509850025177
14,-1,-4,18.98725700378418
15,-1,-9,19.19664239883423
16,-1,-15,19.42717146873474
17,-1,-22,19.66095280647278
18,-1,-24,19.89209485054016
19,-1,-29,20.580652952194214
20,-1,-34,20.863672256469727
21,-1,-39,21.960400581359863
22,-1,-44,23.678038835525513
