,current_value,total_value,time
0,1,1,2.586315870285034
1,1,6,4.89047384262085
2,1,11,6.3970396518707275
3,-1,14,9.714958429336548
4,-1,7,9.934102773666382
5,-1,6,12.993097066879272
6,-1,2,13.272027254104614
7,-1,-3,14.399336814880371
8,-1,-9,14.601016521453857
9,1,-11,16.62423348426819
10,1,-7,16.93369960784912
11,1,-4,17.134352207183838
12,1,0,17.366336345672607
13,1,3,17.599054098129272
14,1,7,17.813932418823242
15,1,10,18.43375587463379
16,1,14,19.045828342437744
17,1,18,19.2703058719635
18,1,21,19.690189838409424
19,-1,23,21.64214062690735
20,-1,19,25.022342920303345
21,-1,13,25.239795923233032
22,-1,7,25.442285299301147
23,1,3,28.875842571258545
24,1,7,29.17187738418579
25,1,13,29.372131824493408
26,1,19,29.582375049591064
27,1,25,29.808740615844727
