,valence,arousal
0,0.22248414,-0.52578926
1,0.18283708,-0.492294
2,0.21032436,-0.64162517
3,0.17311639,-0.71462196
4,0.16057107,-0.667112
5,0.12760161,-0.60004365
6,0.15652868,-0.36088
7,-0.09845152,0.18991058
8,-0.07470093,-0.30174655
9,0.2326908,0.067231245
10,0.27350846,-0.41120416
11,0.40162873,-0.64615357
12,0.13798362,-0.7479615
13,0.23798427,-0.60159177
14,0.24415468,-0.67902166
15,0.3539258,-0.7696923
16,0.49020115,-0.8423377
17,0.5261445,-0.73709315
18,0.4305806,-0.7061304
19,0.43357685,-0.6873316
20,0.40248877,-0.6781147
21,0.36749312,-0.66784656
22,0.32869288,-0.64008236
23,0.2650291,-0.6290922
24,0.23086283,-0.6098073
25,0.20568436,-0.5399471
26,0.24176797,-0.5761371
27,0.2742011,-0.5402475
28,0.28355652,-0.4151697
29,0.3075914,-0.43551812
