,valence,arousal
0,-0.15148473,0.28773466
1,-0.15175006,0.28760174
2,-0.15171465,0.28763714
3,-0.15171465,0.28763714
4,-0.15175006,0.28760174
5,0.3716472,-0.5985746
6,0.4556993,-0.64783424
7,0.45902994,-0.62699395
8,0.4042201,-0.6205404
9,0.38550103,-0.6022037
10,0.61083335,-0.64698
11,0.676832,-0.6918121
12,0.7456749,-0.82732487
13,0.6818311,-0.72695065
14,0.6111918,-0.7321018
15,0.5779069,-0.7137635
16,0.54284674,-0.7361959
17,0.5305529,-0.7389827
18,0.5424622,-0.71361387
19,0.55712456,-0.7468073
20,0.5741155,-0.7506843
21,0.60529464,-0.7421154
22,0.6047168,-0.7311829
23,0.58761036,-0.72189516
24,0.6622092,-0.55070966
25,0.58879095,-0.65072834
26,0.6412439,-0.70905375
27,0.5515337,-0.71571964
28,0.55078137,-0.7044123
29,0.47029215,-0.67823905
30,0.5324754,-0.6512344
31,0.52231526,-0.5775865
32,0.5020495,-0.5346325
33,0.4736291,-0.5257853
34,0.45646632,-0.6634058
35,0.5139797,-0.6235093
36,0.5316221,-0.6809528
37,0.5588477,-0.6995348
38,0.53127867,-0.6885132
39,0.51244,-0.65756506
40,0.35153452,-0.5043052
41,0.58294046,-0.5690017
42,0.5119633,-0.6261383
43,0.38221154,-0.7132848
44,0.4602597,-0.71109927
45,0.6322172,-0.6132285
46,0.7685051,-0.40558913
47,0.73980206,-0.7961422
48,0.6783311,-0.8035414
49,0.6179097,-0.80709946
50,0.6614522,-0.7587086
51,0.65474695,-0.80128133
52,0.68428355,-0.5603263
53,0.67103404,-0.59123796
54,0.5161462,-0.2427312
55,0.47107527,-0.43610558
56,0.18586177,-0.1774316
57,0.75252575,-0.3275247
58,0.5724212,-0.4986112
59,0.5298839,-0.7455127
60,0.62143475,-0.8109561
61,0.580367,-0.78871804
62,0.5779509,-0.77318394
63,0.52825874,-0.7161547
64,0.43117243,-0.6333336
65,0.4048094,-0.64053726
66,0.40522528,-0.55206734
67,0.35380772,-0.63874865
68,0.29936105,-0.55680656
69,0.39369246,-0.63447046
70,0.52837557,-0.6486242
71,0.7085054,-0.682716
72,0.6567697,-0.69221973
73,0.66033405,-0.66726
74,0.6576008,-0.6972313
75,0.6434727,-0.7103021
76,0.6420219,-0.699816
77,0.65035516,-0.70456797
78,0.6497877,-0.696703
79,0.6608586,-0.7475192
80,0.67029023,-0.7495643
81,0.67786545,-0.7309614
82,0.6504522,-0.71054935
83,0.5978979,-0.68588585
84,0.5564108,-0.22644664
85,0.43635848,-0.56066287
86,0.41786143,-0.6079405
87,0.4688126,-0.635339
88,0.435546,-0.6253909
89,0.47155347,-0.3412024
90,0.52830756,-0.5333339
91,0.69628114,-0.6427957
92,0.61161405,-0.6283592
93,0.6866476,-0.6992835
94,0.72211105,-0.7513152
95,0.61307937,-0.7901911
96,0.41493264,-0.79033273
97,0.4751381,-0.7813818
98,0.47844324,-0.74781376
99,0.42434648,-0.7194272
100,0.40917778,-0.76317954
101,0.403704,-0.74059904
102,0.41012332,-0.7220022
103,0.4027048,-0.6727826
104,0.41347608,-0.6946253
105,0.4450946,-0.6771003
106,0.49590215,-0.71177876
107,0.44760057,-0.70684886
108,0.46179906,-0.7105126
109,0.5105253,-0.7181993
110,0.48333725,-0.6993848
111,0.4646168,-0.6759826
112,0.4583363,-0.69593656
113,0.42248753,-0.64778036
114,0.37484723,-0.5516287
115,0.18638733,-0.4585204
116,0.3048199,-0.30326948
117,0.4595507,-0.5586126
118,-0.06743192,0.27362913
119,0.78076965,-0.88881993
120,0.6511832,-0.8182634
121,0.43614444,-0.71637654
122,0.37692896,-0.74637735
123,0.58489484,-0.573926
124,0.6062296,-0.65353686
125,0.73372823,-0.8377913
126,0.6562032,-0.7768214
127,0.6615402,-0.72734594
128,0.7064986,-0.7611301
129,0.6877888,-0.7603069
130,0.6849622,-0.7739436
131,0.6620943,-0.7204665
132,0.6787063,-0.7096074
133,0.62858933,-0.6667093
134,0.18707676,-0.5290447
135,-0.08152413,-0.28692088
136,0.122875705,-0.34033185
137,0.19102135,-0.48011836
138,0.5750837,-0.5148575
139,0.07192782,0.048284627
140,0.4302255,-0.34962955
141,0.18906537,-0.26337305
142,0.0479193,-0.0313647
143,0.2749336,-0.3712451
144,0.596115,-0.65933573
145,0.50282055,-0.64328635
146,0.37650132,-0.21243092
147,0.28868783,-0.1029068
148,0.389069,-0.3576229
149,0.37113538,-0.24235725
150,0.3685277,-0.41618577
151,0.35564038,-0.30490655
152,0.55683374,-0.81770504
153,0.5298595,-0.7808912
154,0.5748921,-0.66544783
155,0.37376735,-0.4794927
156,0.19166481,-0.2972069
157,-0.0254567,-0.13991328
158,-0.06635367,0.10366363
159,0.22123624,-0.423294
160,0.22512053,-0.49687943
161,-0.11880175,-0.0850096
162,-0.098185144,-0.085739546
163,-0.034977455,-0.062024407
164,0.08003343,-0.07774725
165,0.24203552,-0.15060271
166,0.37920326,-0.22373916
167,0.38159016,-0.26430044
168,0.35641134,-0.2575838
169,0.3673151,-0.24082544
170,0.38211194,-0.24672267
171,0.3395814,-0.22640906
172,0.27679315,-0.24909894
173,0.24082671,-0.2780821
174,0.25026467,-0.27148253
