,valence,arousal
0,0.3770151,-1.115838
1,0.33450666,-1.1223226
2,0.2983373,-1.116525
3,0.25681075,-1.0889724
4,0.24423076,-1.0810245
5,0.23862216,-1.0587106
6,0.25445032,-1.046198
7,0.35527483,-1.1026531
8,0.37294716,-1.0889074
9,0.48141524,-1.0305012
10,0.59152406,-1.0124441
11,0.64176124,-1.010315
12,0.6460602,-0.97770524
13,0.66857153,-0.9994385
14,0.6553535,-1.1085055
15,0.64690703,-0.9307028
16,0.4985367,-0.6894249
17,0.49734065,-0.6695851
18,0.32487565,-0.48472762
19,0.2514861,-0.47602332
20,0.27417296,-0.47612637
21,0.36433396,-0.47620672
22,0.44099608,-0.42671138
23,0.4574351,-0.46979204
24,0.5075225,-0.62609804
25,0.5371607,-0.72121644
26,0.5285609,-0.7643307
27,0.503959,-0.81604266
28,0.5384189,-0.91134703
29,0.49629366,-0.96164066
