,valence,arousal
0,0.19957481,-0.9857971
1,0.20634897,-0.9987548
2,0.18237023,-0.9907674
3,0.17795818,-0.9637017
4,0.19827735,-0.92394924
5,0.27686045,-0.91948026
6,0.37388003,-0.94053304
7,0.36241516,-0.9299831
8,0.38254097,-0.9259787
9,0.3706704,-0.79566
10,0.44290566,-0.9653022
11,0.41425672,-0.963522
12,0.4493427,-0.9338398
13,0.33033654,-0.9375323
14,0.56801456,-0.9481143
15,0.65948963,-1.0168566
16,0.6512725,-0.9084822
17,0.6163884,-0.801163
18,0.5631968,-0.67612803
19,0.4588028,-0.6059773
20,0.41778114,-0.5099989
21,0.5036656,-0.5356984
22,0.77901036,-0.7989628
23,0.673041,-0.6746208
24,0.7500909,-0.75077236
25,0.7347747,-0.78253055
26,0.58222884,-0.8416113
27,0.47360715,-0.85057676
28,0.40770105,-0.85849357
29,0.49461007,-0.85031277
