,valence,arousal
0,0.12128825,-0.6634364
1,0.13184725,-0.65891933
2,0.16400424,-0.6276676
3,0.18462458,-0.69455206
4,0.1713365,-0.52
5,0.21527389,-0.50444865
6,0.21281767,-0.59761655
7,0.16351977,-0.5256481
8,0.19047156,-0.63566613
9,0.1868175,-0.6005137
10,0.18512309,-0.63780224
11,0.15596876,-0.5864444
12,0.17045549,-0.5007739
13,0.16388398,-0.6317306
14,0.20243514,-0.45107692
15,0.14374828,-0.83973557
16,0.3547671,-0.6690948
17,0.30587342,-0.6350305
18,0.34238487,-0.6529342
19,0.12101672,-0.8434542
20,0.34136978,-0.7779639
21,0.23406297,-0.81634325
22,0.22981651,-0.8032752
23,0.46996948,-0.6224779
24,0.14117602,-0.6087068
25,0.18160886,-0.6153361
26,0.2420381,-0.65467286
27,0.20682815,-0.62675285
28,0.24225053,-0.6312795
29,0.22464204,-0.64572656
30,0.2753413,-0.6258691
31,0.25926918,-0.5942506
32,0.24407285,-0.5727616
33,0.1911371,-0.55082965
34,0.18329813,-0.55983144
35,0.18853281,-0.5647762
36,0.20214136,-0.57225335
37,0.22201309,-0.6335393
38,0.22488868,-0.5897848
39,0.22103648,-0.6180347
40,0.21806896,-0.60505086
41,0.22031832,-0.6246268
42,0.2607925,-0.5672548
43,0.353789,-0.623564
44,0.40830818,-0.65954876
45,0.48976627,-0.7209651
46,0.54595387,-0.6919457
47,0.57073945,-0.6572106
48,0.5621135,-0.6650046
49,0.4947669,-0.6549
50,0.40621656,-0.3560274
51,0.42429277,-0.5875578
52,0.41575685,-0.5828029
53,0.33819643,-0.5844235
54,0.29892996,-0.51899666
55,0.26358882,-0.5635963
56,0.29605538,-0.5957637
57,0.3350757,-0.61253965
58,0.3320266,-0.6325543
59,0.32735372,-0.60446274
60,0.31019565,-0.53960055
61,0.34331986,-0.55403244
62,0.32348436,-0.4618446
63,0.3097643,-0.41161886
64,0.3847016,-0.6667135
65,0.4308504,-0.62173855
66,0.3685106,-0.63929254
67,0.30705944,-0.40446115
68,0.27689153,-0.24559088
69,0.015691068,-0.06998565
70,0.018038835,-0.1757877
71,-0.010594611,-0.17336194
72,-0.045863274,-0.1535535
73,-0.056113366,-0.19558163
74,-0.023687307,-0.23503815
75,0.14108697,-0.22085379
76,0.16516486,-0.2022853
77,0.25204685,-0.38239533
78,0.38730416,-0.5266162
79,0.47598547,-0.5630908
80,0.50749695,-0.5898957
81,0.47833747,-0.5866169
82,0.47081086,-0.60934997
83,0.39105007,-0.6251506
84,0.4163068,-0.6421843
85,0.4927977,-0.62987065
86,0.43185022,-0.6131191
87,0.4488939,-0.6548995
88,0.44988298,-0.6343243
89,0.44661927,-0.6613717
90,0.41895717,-0.5478737
91,0.39592347,-0.56294394
92,0.37262133,-0.5665345
93,0.37277588,-0.55304426
94,0.3537878,-0.55556613
95,0.36655495,-0.555619
96,0.41787824,-0.36652568
97,0.26989895,-0.37436894
98,0.2662476,-0.49144328
99,0.26641122,-0.579394
100,0.3780556,-0.6235791
101,0.69441503,-0.71144927
102,0.5210347,-0.6300046
103,0.5233058,-0.62883234
104,0.5143581,-0.62895375
105,0.31074288,-0.70917183
106,0.5952559,-0.41307992
107,0.56116605,-0.6262594
108,0.5850507,-0.56426954
109,0.5840903,-0.5320404
110,0.5163099,-0.40771484
111,0.52354574,-0.48344728
112,0.5141046,-0.5809321
113,0.4322977,-0.57500315
114,0.42112932,-0.5566728
115,0.30199414,-0.518918
116,0.35888484,-0.49973983
117,0.4190928,-0.4826377
118,0.43025282,-0.518601
119,0.42196187,-0.4625865
120,0.51764107,-0.4514725
121,0.505735,-0.40452766
122,0.59126955,-0.49918935
123,0.5970231,-0.46992967
124,0.4934702,-0.5017972
125,0.44334483,-0.38869914
126,0.5854478,-0.3867962
127,0.60546046,-0.24002267
128,-0.03453118,-0.6319657
129,0.47528875,-0.6948021
130,0.7404861,-0.8323729
131,0.66102326,-1.0434237
132,0.45436624,-0.8763805
133,0.40037203,-0.6678003
134,0.32560536,-0.72162116
135,0.3234626,-0.7735613
136,0.38547382,-0.82199365
137,0.46487236,-0.8889873
138,0.35238987,-0.57863253
139,0.4778586,-0.54608166
140,0.29660454,-0.4464675
141,0.25854003,-0.63123053
142,0.4646116,-0.15607919
143,0.42521265,-0.19318758
144,0.20535588,-0.17252086
145,0.17327091,-0.16729458
146,0.16465145,-0.14039777
147,0.1567398,-0.122838415
