,valence,arousal
0,0.16413781,-0.5535097
1,0.21349937,-0.3946384
2,0.19500566,-0.3727575
3,0.21897157,-0.26087326
4,0.5900134,-0.032169126
5,0.42629457,-0.37610862
6,0.52689075,-0.35980245
7,0.52076405,-0.39081493
8,0.3671064,-0.4548762
9,0.44804022,-0.12859367
10,0.39788795,0.005715974
11,0.3340288,0.029695995
12,0.37141722,0.060799457
13,0.5272228,-0.24924417
14,0.5262408,-0.6216964
15,0.45153743,-0.62901783
16,0.3511199,-0.50642514
17,0.52273625,-0.6287224
18,0.6184748,-0.90169436
19,0.49652085,-0.78579986
20,0.38045272,-0.6340841
21,0.32852724,-0.5240346
22,0.24838145,-0.33971557
23,0.35637504,-0.25845215
24,0.5072667,-0.3123398
25,0.4688733,-0.42478022
26,0.45891026,-0.4726274
27,0.47066098,-0.45834175
28,0.4696134,-0.43415925
29,0.4772725,-0.4206387
