,valence,arousal
0,0.5976917,-0.80532473
1,0.52985597,-0.7583484
2,0.5311379,-0.73834497
3,0.5936037,-0.70235074
4,0.57523936,-0.70223117
5,0.5468718,-0.6170174
6,0.59724015,-0.62746745
7,0.7325569,-0.7126545
8,0.7962818,-0.86544764
9,0.8760442,-0.9886179
10,0.87396514,-0.9553436
11,0.75110203,-0.7329687
12,0.6833737,-0.8846375
13,0.6674891,-0.9436935
14,0.63701,-0.9767171
15,0.6025523,-0.9605698
16,0.57386273,-0.9538745
17,0.63408583,-0.93839955
18,0.63867956,-0.95452505
19,0.6750156,-0.9219722
20,0.66289157,-0.9262583
21,0.6495457,-0.78652537
22,0.7006454,-0.87720346
23,0.9299185,-1.0513825
24,0.5960898,-0.87878364
25,0.67768437,-0.84192896
26,0.6587606,-0.7644809
27,0.7608777,-0.74559015
28,0.6887755,-0.75706565
29,0.6268053,-0.752861
