,valence,arousal
0,0.6564904,-0.8612979
1,0.6180155,-0.88238376
2,0.60670567,-0.85743546
3,0.66266865,-0.77226114
4,0.6104848,-0.8317066
5,0.5729591,-0.8351393
6,0.6144168,-0.8813976
7,0.5777273,-0.9576954
8,0.5876862,-0.9586257
9,0.5877456,-0.94232476
10,0.60595626,-0.85782737
11,0.7150232,-0.98059815
12,0.56456375,-0.9445014
13,0.5438348,-0.9306757
14,0.56976086,-0.83596224
15,0.5926171,-0.8264483
16,0.56086016,-0.7373259
17,0.4823325,-0.652832
18,0.53974515,-0.6630819
19,0.6127848,-0.6845262
20,0.7052526,-0.83736813
21,0.6610765,-0.87204987
22,0.6233955,-0.9114889
23,0.6063737,-0.95342374
24,0.67502576,-0.9889034
25,0.66035944,-0.97470856
26,0.6645777,-0.9771012
27,0.56739885,-0.8788837
28,0.570943,-0.75526476
29,0.6360348,-0.78803277
