,valence,arousal
0,-0.116618946,-0.28749892
1,0.46815088,-0.6379842
2,0.48695877,-0.5736393
3,0.47548833,-0.44607726
4,0.35449898,-0.41641238
5,0.36417052,-0.39233944
6,0.4935023,-0.5923376
7,0.41999897,-0.6165495
8,0.3842943,-0.56462187
9,0.40820202,-0.620324
10,0.56891793,-0.6231334
11,0.52076346,-0.5616224
12,0.5938121,-0.58074564
13,0.515305,-0.57266986
14,0.64074045,-0.5443389
15,0.6416748,-0.5208113
16,0.5375288,-0.47106293
17,0.7427877,-0.48563394
18,0.65457577,-0.5031314
19,0.64118904,-0.4349342
20,0.4952303,-0.4364024
21,0.46183273,-0.48540106
22,0.491725,-0.5311283
23,0.3580188,-0.6209933
24,0.60769206,-0.63594145
25,0.41777116,-0.50176793
26,0.4373156,-0.5215162
27,0.3832056,-0.45858094
28,0.44887665,-0.5458841
29,0.3717749,-0.5534822
30,0.023087677,-0.16913278
31,0.15539543,-0.50971514
32,0.3623108,-0.50973886
33,0.40454608,-0.5382012
34,0.10886687,-0.29069427
35,0.30692568,-0.44962624
36,0.33357438,-0.5223956
37,0.0993943,-0.421205
38,0.26461324,-0.4582298
39,0.39492238,-0.5263681
40,0.4953366,-0.6126064
41,0.3742065,-0.623393
42,0.1728279,-0.5057772
43,0.1489918,-0.43969718
44,0.1346604,-0.4479868
45,0.15005887,-0.48919323
46,0.09611311,-0.4440432
47,0.089850865,-0.47636786
48,0.2727057,-0.54846823
49,0.22267877,-0.5273083
50,0.33180106,-0.551197
51,0.28787723,-0.4932572
52,0.4414248,-0.60068274
53,0.2824296,-0.55187005
54,0.44223893,-0.47216544
55,0.57621175,-0.5455984
56,0.5705351,-0.69148207
57,0.5751876,-0.59722984
58,0.45140472,-0.611593
59,0.39318198,-0.5900153
60,0.3979306,-0.67241263
61,0.44557485,-0.6426282
62,0.47668937,-0.6536875
63,0.28866604,-0.55084777
64,0.31957874,-0.5984655
65,0.26649365,-0.58051103
66,0.39447454,-0.69917333
67,0.42396265,-0.71591663
68,0.25269178,-0.44568905
69,0.33268481,-0.39174792
70,0.2775178,-0.43225428
71,0.16695459,-0.15087087
72,0.18004394,-0.16287445
73,0.25019813,-0.3279337
74,0.5995744,-0.7314532
75,0.33490688,-0.3492095
76,0.11747854,-0.4197081
77,0.39548126,-0.4636302
78,0.49899682,-0.47043177
79,0.4549455,-0.5534712
80,0.104935534,-0.26317582
81,-0.013459523,-0.031059586
82,0.13093418,-0.23592044
83,0.23839372,-0.42257833
84,0.4767456,-0.57184166
85,0.52571964,-0.5856598
86,0.7658704,-0.74402815
87,0.4933922,-0.62622905
88,0.54344565,-0.6185294
89,0.50076836,-0.66337776
90,0.6584607,-0.7727215
91,0.68796295,-0.74645185
92,0.62437606,-0.742133
93,0.5571405,-0.63866746
94,0.45503664,-0.609866
95,0.43410537,-0.68490934
96,0.25989166,-0.48524073
97,0.19179651,-0.38968334
98,0.4530519,-0.46215102
99,0.8499783,-0.4919658
100,0.61231816,-0.4685957
101,0.45879188,-0.45657003
102,0.5108154,-0.48624933
103,0.5512096,-0.552424
104,0.38595986,-0.49893275
105,0.6556806,-0.53792745
106,0.6380742,-0.5550486
107,0.24865876,-0.046196036
108,0.23122454,-0.1906758
109,0.45016137,-0.3434911
110,0.24770793,-0.17788085
111,0.338092,-0.36524832
112,0.19811982,-0.15708071
113,0.24594578,-0.2760987
114,0.2883138,-0.43397778
115,0.47382423,-0.7502298
116,0.27828416,-0.7032522
117,0.4078872,-0.6866912
118,0.291104,-0.65846837
119,0.4316678,-0.6347341
120,0.22627339,-0.6530007
121,0.40022695,-0.6626422
122,0.2200814,-0.5815959
123,0.31032094,-0.63273066
124,0.31581086,-0.65609646
125,0.3118094,-0.6056571
126,0.24386345,-0.6337548
127,0.35078964,-0.53817284
128,0.28318882,-0.5798932
129,0.38980833,-0.5807252
130,0.23374292,-0.44217744
131,0.21816769,-0.5211737
132,0.17662713,-0.441417
133,0.28553393,-0.6735358
134,0.19352002,-0.5096919
135,0.16669303,-0.5968692
136,0.06860429,-0.4238461
137,0.100460656,-0.625164
138,0.1723297,-0.5611768
139,0.15838332,-0.5857426
140,0.11960577,-0.5361725
141,0.1165834,-0.5381748
142,0.13761283,-0.54681474
143,0.15765917,-0.56828755
144,0.16294453,-0.58870155
145,0.21736234,-0.58081543
146,0.19222832,-0.56438273
147,0.13574672,-0.60499686
148,0.14566386,-0.520998
149,0.12271782,-0.5792508
150,0.20960939,-0.6238991
151,0.19744727,-0.6786811
152,0.1614044,-0.66677463
153,0.18357189,-0.67282933
154,0.43492225,-0.78138065
155,0.33159757,-0.78760684
156,0.25655133,-0.76484406
157,0.17807254,-0.7321926
158,0.20870054,-0.6681597
159,0.43735772,-0.90947765
160,0.2230128,-0.70872504
161,0.03249338,-0.53484106
162,0.17353547,-0.56317604
163,0.18722068,-0.5729443
164,0.18202074,-0.54979336
165,0.17798078,-0.5905848
166,0.15281555,-0.6155181
167,0.11819742,-0.584302
168,0.22914618,-0.4843392
169,0.27081686,-0.61948884
170,0.4317347,-0.5557841
171,0.23219047,-0.4710445
172,0.19916779,-0.6198801
173,0.14102343,-0.60888344
174,0.10162368,-0.5323476
175,-0.00062683667,-0.51566774
176,0.07936656,-0.5056137
177,0.15021122,-0.46025243
178,0.25162944,-0.55391103
179,0.25098595,-0.5407009
180,0.17484729,-0.4651625
181,0.3041163,-0.57523906
182,0.3061597,-0.6435149
183,0.20518488,-0.6452452
184,0.22003292,-0.6977136
185,0.21723023,-0.67822224
186,0.24439731,-0.7354567
187,0.21883795,-0.7410356
188,0.14345771,-0.61303395
189,0.20041266,-0.64781094
190,0.24876791,-0.6834745
191,0.24878845,-0.6177225
192,0.22722179,-0.63473475
193,0.3100174,-0.73281556
194,0.20226154,-0.6840048
195,0.13923419,-0.6858248
196,0.19044653,-0.68935454
197,0.23862801,-0.65179217
198,0.09437836,-0.6002019
199,0.05971689,-0.63753057
200,0.105720885,-0.58183163
201,0.03023773,-0.57543755
202,0.101015724,-0.6758988
203,0.09012788,-0.62097216
204,0.058675956,-0.58068967
205,0.14310558,-0.5053602
206,0.30383086,-0.47482258
207,0.066631936,-0.29794082
208,0.2719434,-0.42188463
209,0.21512482,-0.441046
210,0.21780786,-0.4665595
211,0.4754639,-0.23795941
212,0.55476665,-0.2082008
213,0.46411392,-0.5179559
214,0.1736536,-0.59407854
215,0.30591056,-0.54957
216,0.11334329,-0.43970022
217,-0.06697855,-0.4814434
218,0.18394798,-0.52646345
219,0.34016272,-0.42651522
220,0.39745948,-0.400462
221,0.36769706,-0.34555903
222,0.33118036,-0.36194295
223,0.29450017,-0.3572127
224,0.30786267,-0.37425914
225,0.37599665,-0.41956678
226,0.33887914,-0.42467138
227,0.27683422,-0.3492367
228,0.12608942,-0.30065936
229,1.6610386e-05,-0.24528943
230,0.041322526,-0.29770496
231,0.10681646,-0.35632256
232,0.08809193,-0.3225128
233,0.36639693,-0.38561478
234,0.3358361,-0.38809305
235,0.3904902,-0.5415324
236,0.38711676,-0.47109923
237,0.5286586,-0.39549905
238,0.53252816,-0.4580159
239,0.50114053,-0.53715014
240,0.4642182,-0.54826975
241,0.12520349,-0.49615842
242,0.07734711,-0.46547005
243,-0.0045559374,0.02810748
244,-0.072167136,-0.19678131
245,0.11812972,-0.26523128
246,0.36484244,-0.3562871
247,0.23848751,-0.32098976
248,0.30189943,-0.2502016
249,0.38776276,-0.5184094
250,0.43275094,-0.575201
251,0.417627,-0.6197857
252,0.33797866,-0.57268786
253,0.31053352,-0.6240062
254,0.29719585,-0.6420357
255,0.25891802,-0.61688447
256,0.2664493,-0.6556929
257,0.29436147,-0.6392276
258,0.38375,-0.6858568
259,0.37372008,-0.6716955
260,0.2969673,-0.585608
261,0.4019475,-0.5876961
262,0.20943731,-0.45768163
263,0.45555168,-0.6540096
264,0.41880745,-0.6573726
265,0.48079634,-0.6542264
266,0.49756187,-0.61685055
267,0.38416052,-0.49228707
268,0.37584206,-0.047402963
269,0.33203366,-0.641119
270,0.43929863,-0.30497935
271,0.46038568,-0.48851195
272,0.552236,0.04550988
273,0.2859616,-0.059876405
274,0.46929097,-0.28672573
275,0.39480123,-0.4019735
276,0.3272799,-0.32495868
277,0.34039903,-0.4590468
278,0.22379208,-0.38531432
279,0.36896548,-0.43828857
280,0.21171007,-0.34472322
281,0.32104152,-0.5341153
282,0.5141246,-0.59376866
283,0.42807433,-0.6796482
284,0.29554382,-0.6002753
285,0.3119876,-0.5877858
286,0.3674949,-0.59988064
287,0.30910066,-0.61953515
288,0.3865508,-0.66539556
289,0.4570019,-0.6719559
290,0.23520361,-0.39715472
291,0.21350753,-0.3545979
292,0.10539969,-0.256781
293,0.23829319,-0.37199607
294,0.17639682,-0.42516348
295,0.13831466,-0.34061685
296,0.14440876,-0.42390224
297,0.17883945,-0.47933656
298,0.19212963,-0.46866247
299,0.22736876,-0.49362767
300,-0.089458056,-0.24499246
301,0.031045657,-0.329977
302,-0.049853254,-0.27106482
303,0.13175502,-0.14120086
304,0.08151346,-0.21425189
305,0.13778645,-0.5682304
306,0.043087345,-0.38291654
307,0.38600948,-0.46721154
308,0.30136183,-0.4703668
309,0.26983044,-0.49068388
310,0.35606068,-0.5040394
311,0.38570502,-0.43876466
312,0.5081751,-0.50260574
313,0.5082405,-0.6047492
314,0.37467778,-0.6567127
315,0.4154479,-0.34307352
316,0.4237305,-0.54021406
317,0.5570003,-0.51495343
318,0.49965665,-0.658487
319,0.51997036,-0.44539872
320,0.629361,-0.24791123
321,0.5504069,-0.5275572
322,0.43205035,-0.43140897
323,0.24447577,-0.32672977
324,0.10738134,-0.37201914
325,0.011037449,-0.27653602
326,0.019696038,-0.2465313
327,-0.06707004,-0.06579284
328,0.025379252,-0.2917678
329,-0.036898766,-0.5036158
330,0.12419177,-0.16523437
331,0.5155146,-0.5349076
332,-0.028059777,-0.16813998
333,0.31063718,-0.5061544
334,0.35316882,-0.5051035
335,0.34862456,-0.44314075
336,0.47669363,-0.4938526
337,0.6770431,-0.65139794
338,0.77312964,-0.7544831
339,0.6605323,-0.7255843
340,0.6050622,-0.7317557
341,0.5744616,-0.590163
342,0.5277015,-0.7007129
343,0.43165508,-0.55367833
344,0.42599577,-0.4588383
345,0.50609636,-0.53207284
346,0.6054759,-0.49279776
347,0.57690257,-0.4901369
348,0.3062667,-0.50232923
349,0.2967932,-0.57714224
350,0.3288596,-0.52836704
351,0.30337557,-0.35380852
352,0.14105505,-0.08448114
353,0.19799785,0.02596654
