,valence,arousal
0,0.4337172,-0.71726286
1,0.41049758,-0.6042382
2,0.41553923,-0.68543124
3,0.4743796,-0.70807713
4,0.49981865,-0.6764967
5,0.45327094,-0.6833349
6,0.48119488,-0.67959946
7,0.41265827,-0.609763
8,0.528613,-0.7182045
9,0.40076792,-0.576285
10,0.45898673,-0.53733003
11,0.5377975,-0.45404541
12,0.4280164,-0.47594246
13,0.4839719,-0.6234631
14,0.37235352,-0.5874397
15,0.4631152,-0.6325058
16,0.4996911,-0.66017544
17,0.4238598,-0.6827427
18,0.4524103,-0.675327
19,0.42636484,-0.6634686
20,0.3731952,-0.6508927
21,-0.003519018,0.15253563
22,0.2933807,-0.69743776
23,0.45440844,-0.721339
24,0.44652155,-0.6848438
25,0.44628718,-0.7285695
26,0.42680866,-0.7203865
27,0.42290464,-0.70103407
28,0.426609,-0.738892
29,0.4042311,-0.69215053
