,valence,arousal
0,0.35035628,-0.6394136
1,0.35342857,-0.63962096
2,0.44306234,-0.64588404
3,0.46043998,-0.7387285
4,0.44255137,-0.72040397
5,0.47939038,-0.72833097
6,0.49346405,-0.7063466
7,0.43591216,-0.6718594
8,0.4450447,-0.6535429
9,0.4317949,-0.688594
10,0.4097621,-0.7037756
11,0.42084005,-0.72158587
12,0.48476782,-0.6401945
13,0.4683353,-0.71487594
14,0.40302995,-0.6896046
15,0.4389468,-0.7678963
16,0.41735134,-0.7237727
17,0.44700024,-0.36766553
18,0.18168099,-0.36807743
19,0.3933836,-0.5542997
20,0.12057426,-0.35938206
21,0.13232264,-0.47269332
22,0.2291711,-0.35005674
23,0.63440424,-0.7094839
24,0.5778732,-0.68592227
25,0.56177294,-0.62491
26,0.5090804,-0.6182481
27,0.49908814,-0.6277877
28,0.47339842,-0.59818554
29,0.46571916,-0.5624242
