,valence,arousal
0,0.010697897,-0.44173422
1,0.07862007,-0.43387845
2,0.11395215,-0.323132
3,0.13534895,-0.3094819
4,0.17791763,-0.44322154
5,-0.011371766,-0.47161165
6,0.002254869,-0.4735618
7,0.01774704,-0.49669638
8,0.09749787,-0.5743158
9,0.1222425,-0.6699628
10,0.17995125,-0.6950209
11,0.2772049,-0.4398228
12,-0.1845429,-0.56750065
13,0.16345525,-0.5642568
14,0.2062128,-0.62653327
15,0.21367,-0.59166324
16,0.13698229,-0.5514579
17,0.2231003,-0.56532127
18,0.16195245,-0.55848527
19,0.12815079,-0.52017754
20,0.16101938,-0.567682
21,0.22865492,-0.4614143
22,0.19732715,-0.48989573
23,0.1803742,-0.5017337
24,0.16213068,-0.45018578
25,0.12580858,-0.43039557
26,0.08186337,-0.32588536
27,0.2654718,-0.40353355
28,0.17501117,-0.56431174
29,0.1850018,-0.67871255
