,valence,arousal
0,0.36483997,-0.48200247
1,0.33558273,-0.4917086
2,0.33812198,-0.49595478
3,0.46892932,-0.5473044
4,0.38441104,-0.5732957
5,0.36961216,-0.5968357
6,0.44280174,-0.4783576
7,0.5230163,-0.619834
8,0.45943245,-0.6368345
9,0.4846441,-0.6468305
10,0.5057345,-0.6796052
11,0.6188643,-0.7406451
12,0.5444609,-0.6631507
13,0.42658415,-0.5669824
14,0.30191717,-0.45771858
15,0.28851578,-0.4558372
16,0.45663464,-0.5499967
17,0.66878086,-0.7791085
18,0.537839,-0.6449367
19,0.5168212,-0.7199803
20,0.44032356,-0.7268226
21,0.36119467,-0.7198391
22,0.34751096,-0.7268626
23,0.38001227,-0.7217248
24,0.40961006,-0.7296365
25,0.3286039,-0.696898
26,0.30731457,-0.6973809
27,0.27875128,-0.6589623
28,0.3221605,-0.6868887
29,0.43757993,-0.7850119
