t,valence,arousal,dva/t,dva/t,avg va,avg ar,davgval,davgar,abs(D),abs(E),mean(J),mean(K)
47,0.55376303,-0.3762839,0.15065977,0.14210467,0.16326289,-0.413058796,0.128524746,0.014650526,0.15065977,0.14210467,,
48,0.631228,-0.6517749,0.07746497,-0.275491,0.324206582,-0.460857416,0.160943692,-0.04779862,0.07746497,0.275491,,
49,0.18436947,-0.12989369,-0.44685853,0.52188121,0.351739401,-0.418351204,0.027532819,0.042506212,0.44685853,0.52188121,,
50,-0.28602514,-0.17100751,-0.47039461,-0.04111382,0.297287724,-0.369469714,-0.054451677,0.04888149,0.47039461,0.04111382,,
51,-0.047249172,-0.009162094,0.238775968,0.161845417,0.207217238,-0.267624419,-0.090070486,0.101845295,0.238775968,0.161845417,,
52,0.05753787,-0.44624195,0.104787042,-0.437079857,0.107972206,-0.281616029,-0.099245032,-0.01399161,0.104787042,0.437079857,,
53,0.030103166,-0.21655409,-0.027434704,0.22968786,-0.012252761,-0.194571867,-0.120224967,0.087044162,0.027434704,0.22968786,,
54,0.16191238,-0.29350236,0.131809214,-0.07694827,-0.016744179,-0.227293601,-0.004491418,-0.032721734,0.131809214,0.07694827,,
55,0.05218449,0.03732287,-0.10972789,0.33082523,0.050897747,-0.185627525,0.067641926,0.041666076,0.10972789,0.33082523,,
56,0.4105596,-0.40348312,0.35837511,-0.44080599,0.142459501,-0.26449173,0.091561754,-0.078864205,0.35837511,0.44080599,,
57,-0.063124925,-0.39569417,-0.473684525,0.00778895,0.118326942,-0.254382174,-0.024132559,0.010109556,0.473684525,0.00778895,,
58,0.16778663,-0.63920474,0.230911555,-0.24351057,0.145863635,-0.338912304,0.027536693,-0.08453013,0.230911555,0.24351057,,
59,0.38977203,-0.33860686,0.2219854,0.30059788,0.191435565,-0.347933204,0.04557193,-0.0090209,0.2219854,0.30059788,,
60,0.27421454,0.015664153,-0.11555749,0.354271013,0.235841575,-0.352264947,0.04440601,-0.004331743,0.11555749,0.354271013,,
61,0.016325261,-0.15417193,-0.257889279,-0.169836083,0.156994707,-0.302402709,-0.078846868,0.049862238,0.257889279,0.169836083,,
62,-0.015016575,-0.5376299,-0.031341836,-0.38345797,0.166616377,-0.330789855,0.00962167,-0.028387146,0.031341836,0.38345797,,
63,-0.14528516,-0.6109299,-0.130268585,-0.0733,0.104002019,-0.325134887,-0.062614358,0.005654968,0.130268585,0.0733,,
64,0.009781505,-0.6310251,0.155066665,-0.0200952,0.028003914,-0.383618535,-0.075998105,-0.058483648,0.155066665,0.0200952,,
65,0.03164317,-0.47634017,0.021861665,0.15468493,-0.02051036,-0.4820194,-0.048514274,-0.098400865,0.021861665,0.15468493,,
66,-0.00856508,-0.5435826,-0.04020825,-0.06724243,-0.025488428,-0.559901534,-0.004978068,-0.077882134,0.04020825,0.06724243,,
67,-0.005068135,-0.5370536,0.003496945,0.006529,-0.02349874,-0.559786274,0.001989688,0.00011526,0.003496945,0.006529,,
68,0.074116446,-0.54790795,0.079184581,-0.01085435,0.020381581,-0.547181884,0.043880321,0.01260439,0.079184581,0.01085435,,
69,0.22584662,-0.44493747,0.151730174,0.10297048,0.063594604,-0.509964358,0.043213023,0.037217526,0.151730174,0.10297048,,
70,0.11246856,-0.4685175,-0.11337806,-0.02358003,0.079759682,-0.508399824,0.016165078,0.001564534,0.11337806,0.02358003,,
71,0.3613901,-0.3366002,0.24892154,0.1319173,0.153750718,-0.467003344,0.073991036,0.04139648,0.24892154,0.1319173,,
72,0.19986004,-0.43240753,-0.16153006,-0.09580733,0.194736353,-0.44607413,0.040985635,0.020929214,0.16153006,0.09580733,,
73,0.107902385,-0.2832871,-0.091957655,0.14912043,0.201493541,-0.39314996,0.006757188,0.05292417,0.091957655,0.14912043,,
74,-0.06942619,-0.42836264,-0.177328575,-0.14507554,0.142438979,-0.389834994,-0.059054562,0.003314966,0.177328575,0.14507554,,
75,-0.018528495,-0.37293863,0.050897695,0.05542401,0.116239568,-0.37071922,-0.026199411,0.019115774,0.050897695,0.05542401,,
76,-0.103923336,-0.39971313,-0.085394841,-0.0267745,0.023176881,-0.383341806,-0.093062687,-0.012622586,0.085394841,0.0267745,,
77,0.30944446,-0.52524424,0.413367796,-0.12553111,0.045093765,-0.401909148,0.021916884,-0.018567342,0.413367796,0.12553111,,
78,0.09903129,-0.3039419,-0.21041317,0.22130234,0.043319546,-0.406040108,-0.001774219,-0.00413096,0.21041317,0.22130234,,
79,0.030873429,-0.18869087,-0.068157861,0.11525103,0.06337947,-0.358105754,0.020059924,0.047934354,0.068157861,0.11525103,,
80,-0.15834686,-0.24649586,-0.189220289,-0.05780499,0.035415797,-0.3328172,-0.027963673,0.025288554,0.189220289,0.05780499,,
81,0.5275182,-0.2974502,0.68586506,-0.05095434,0.161704104,-0.312364614,0.126288307,0.020452586,0.68586506,0.05095434,,
82,0.39965498,-0.15900728,-0.12786322,0.13844292,0.179746208,-0.239117222,0.018042104,0.073247392,0.12786322,0.13844292,,
83,0.099019654,-0.06332391,-0.300635326,0.09568337,0.179743881,-0.190993624,-2.327E-06,0.048123598,0.300635326,0.09568337,,
84,0.32110637,-0.44717908,0.222086716,-0.38385517,0.237790469,-0.242691266,0.058046588,-0.051697642,0.222086716,0.38385517,,
85,0.4203855,-0.45748293,0.09927913,-0.01030385,0.353536941,-0.28488868,0.115746472,-0.042197414,0.09927913,0.01030385,,
86,0.26573387,-0.5030869,-0.15465163,-0.04560397,0.301180075,-0.32601602,-0.052356866,-0.04112734,0.15465163,0.04560397,,
87,-0.047474418,-0.3691167,-0.313208288,0.1339702,0.211754195,-0.368037904,-0.08942588,-0.042021884,0.313208288,0.1339702,,
88,0.08681363,-0.15021838,0.134288048,0.21889832,0.20931299,-0.385416798,-0.002441205,-0.017378894,0.134288048,0.21889832,,
89,0.12772915,-0.404031,0.04091552,-0.25381262,0.170637546,-0.376787182,-0.038675444,0.008629616,0.04091552,0.25381262,,
90,0.44066504,-0.12469109,0.31293589,0.27933991,0.174693454,-0.310228814,0.004055908,0.066558368,0.31293589,0.27933991,,
91,0.3144855,-0.35828936,-0.12617954,-0.23359827,0.18444378,-0.281269306,0.009750326,0.028959508,0.12617954,0.23359827,,
92,0.26343733,-0.5271926,-0.05104817,-0.16890324,0.24662613,-0.312884486,0.06218235,-0.03161518,0.05104817,0.16890324,,
93,0.4174695,-0.45167324,0.15403217,0.07551936,0.312757304,-0.373175458,0.066131174,-0.060290972,0.15403217,0.07551936,,
94,0.20561084,-0.36876687,-0.21185866,0.08290637,0.328333642,-0.366122632,0.015576338,0.007052826,0.21185866,0.08290637,,
95,0.17139101,-0.48683205,-0.03421983,-0.11806518,0.274478836,-0.438550824,-0.053854806,-0.072428192,0.03421983,0.11806518,,
96,0.22080721,-0.4066586,0.0494162,0.08017345,0.255743178,-0.448224672,-0.018735658,-0.009673848,0.0494162,0.08017345,,
97,0.1598289,-0.42920077,-0.06097831,-0.02254217,0.235021492,-0.428626306,-0.020721686,0.019598366,0.06097831,0.02254217,,
98,0.14261368,-0.30129138,-0.01721522,0.12790939,0.180050328,-0.398549934,-0.054971164,0.030076372,0.01721522,0.12790939,,
99,0.34521493,-0.4541137,0.20260125,-0.15282232,0.207971146,-0.4156193,0.027920818,-0.017069366,0.20260125,0.15282232,,
100,0.2021125,-0.49027953,-0.14310243,-0.03616583,0.214115444,-0.416308796,0.006144298,-0.000689496,0.14310243,0.03616583,,
101,0.47683096,-0.3939986,0.27471846,0.09628093,0.265320194,-0.413776796,0.05120475,0.002532,0.27471846,0.09628093,,
102,0.23094644,-0.3721749,-0.24588452,0.0218237,0.279543702,-0.402371622,0.014223508,0.011405174,0.24588452,0.0218237,,
103,-0.002044693,-0.39816606,-0.232991133,-0.02599116,0.250612027,-0.421746558,-0.028931675,-0.019374936,0.232991133,0.02599116,,
104,-0.09757259,-0.22923954,-0.095527897,0.16892652,0.162054523,-0.376771726,-0.088557504,0.044974832,0.095527897,0.16892652,,
105,-0.05249575,-0.25759992,0.04507684,-0.02836038,0.111132873,-0.330235804,-0.05092165,0.046535922,0.04507684,0.02836038,,
106,0.22969443,-0.40712452,0.28219018,-0.1495246,0.061705567,-0.332860988,-0.049427306,-0.002625184,0.28219018,0.1495246,,
107,0.23333451,-0.5937899,0.00364008,-0.18666538,0.062183181,-0.377183988,0.000477614,-0.044323,0.00364008,0.18666538,,
108,0.4011882,-0.4164469,0.16785369,0.177343,0.14282976,-0.380840156,0.080646579,-0.003656168,0.16785369,0.177343,,
109,0.14480798,-0.32056394,-0.25638022,0.09588296,0.191305874,-0.399105036,0.048476114,-0.01826488,0.25638022,0.09588296,,
110,0.36897582,-0.48225275,0.22416784,-0.16168881,0.275600188,-0.444035602,0.084294314,-0.044930566,0.22416784,0.16168881,,
111,0.038337063,-0.43974373,-0.330638757,0.04250902,0.237328715,-0.450559444,-0.038271473,-0.006523842,0.330638757,0.04250902,,
112,0.081686825,-0.4854633,0.043349762,-0.04571957,0.206999178,-0.428894124,-0.030329537,0.02166532,0.043349762,0.04571957,,
113,0.027165122,-0.23813497,-0.054521703,0.24732833,0.132194562,-0.393231738,-0.074804616,0.035662386,0.054521703,0.24732833,,
114,0.007389485,-0.41094646,-0.019775637,-0.17281149,0.104710863,-0.411308242,-0.027483699,-0.018076504,0.019775637,0.17281149,,
115,0.1608899,-0.45008317,0.153500415,-0.03913671,0.063093679,-0.404874326,-0.041617184,0.006433916,0.153500415,0.03913671,,
116,0.06317565,-0.45118728,-0.09771425,-0.00110411,0.068061396,-0.407163036,0.004967717,-0.00228871,0.09771425,0.00110411,,
117,0.08625245,-0.34987488,0.0230768,0.1013124,0.068974521,-0.380045352,0.000913125,0.027117684,0.0230768,0.1013124,,
118,0.24208975,-0.57439977,0.1558373,-0.22452489,0.111959447,-0.447298312,0.042984926,-0.06725296,0.1558373,0.22452489,,
119,-0.042661186,-0.2979619,-0.284750936,0.27643787,0.101949313,-0.4247014,-0.010010134,0.022596912,0.284750936,0.27643787,,
120,-0.058484595,-0.40059623,-0.015823409,-0.10263433,0.058074414,-0.414804012,-0.043874899,0.009897388,0.015823409,0.10263433,,
121,0.45335677,-0.18882152,0.511841365,0.21177471,0.136110638,-0.36233086,0.078036224,0.052473152,0.511841365,0.21177471,,
122,0.17930341,-0.3918045,-0.27405336,-0.20298298,0.15472083,-0.370716784,0.018610192,-0.008385924,0.27405336,0.20298298,,
123,0.22206692,-0.41079947,0.04276351,-0.01899497,0.150716264,-0.337996724,-0.004004566,0.03272006,0.04276351,0.01899497,,
124,0.18479669,-0.57298195,-0.03727023,-0.16218248,0.196207839,-0.393000734,0.045491575,-0.05500401,0.03727023,0.16218248,,
125,0.21662518,-0.28654543,0.03182849,0.28643652,0.251229794,-0.370190574,0.055021955,0.02281016,0.03182849,0.28643652,,
126,-0.017264504,-0.3637043,-0.233889684,-0.07715887,0.157105539,-0.40516713,-0.094124255,-0.034976556,0.233889684,0.07715887,,
127,0.20888574,-0.5059675,0.226150244,-0.1422632,0.163022005,-0.42799973,0.005916466,-0.0228326,0.226150244,0.1422632,,
128,0.15491489,-0.48921278,-0.05397085,0.01675472,0.149591599,-0.443682392,-0.013430406,-0.015682662,0.05397085,0.01675472,,
