,valence,arousal
0,0.37029037,-0.51855546
1,0.38529935,-0.53036535
2,0.39804366,-0.5189657
3,0.4404665,-0.48727575
4,0.36826572,-0.4798331
5,0.33737922,-0.45181188
6,0.28126445,-0.40834635
7,0.14803436,-0.28995475
8,0.1210266,-0.22001393
9,0.09796398,-0.22972007
10,0.11656111,-0.25804743
11,0.04906824,-0.3487382
12,0.060240086,-0.4341844
13,0.13641578,-0.57160556
14,0.19293098,-0.71263987
15,0.19602475,-0.73375934
16,0.23337257,-0.7730526
17,0.14983761,-0.7629378
18,0.16101062,-0.7147915
19,0.25526887,-0.56966186
20,0.25601602,-0.508893
21,0.3380665,-0.62117445
22,0.43223575,-0.6257857
23,0.3404801,-0.7017269
24,0.25069425,-0.75972366
25,0.23637787,-0.74712074
26,0.21809135,-0.7229341
27,0.12261961,-0.66590065
28,0.19825783,-0.6904191
29,0.23886058,-0.6304991
